Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd Header Length,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward
443,696,294,174,687,316,229,300,1200,197.5714286,120,175,696,687,510
443,64978,1506,203.69279,2266517,1506,1141.822166,359.3855799,114644,1011.933594,149.69279,1087.822166,64978,2266517,516
443,65474,1506,257.7716535,1709522,1506,1142.72861,467.5433071,118756,1014.283429,203.7716535,1088.72861,65474,1709522,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,46469,1506,180.1124031,1888383,1506,1162.081846,312.2248062,80554,1027.536909,126.0658915,1108.067077,46469,1888383,64240
443,47468,1506,179.8030303,1842088,1506,1162.200631,311.6060606,82264,1021.934018,125.7575758,1108.19306,47468,1842088,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,850,175,106.25,951,161,105.6666667,164.5,1316,105.9411765,52.25,51.66666667,850,951,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,1837,852,204.1111111,4230,1474,384.5454545,360.2222222,3242,303.35,148.7777778,329.4545455,1837,4230,64240
7209,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7211,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16385
7214,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7680,198,66,66,0,0,0,84,252,66,0,0,198,0,64240
443,55,55,55,0,0,0,62,62,55,1,0,55,0,512
7171,56,56,56,54,54,54,64,64,55,2,0,56,54,509
49692,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,260
443,696,294,174,687,316,229,300,1200,197.5714286,120,175,696,687,510
443,71991,1506,208.6695652,2424306,1506,1139.241541,369.3391304,127422,1009.420542,154.6695652,1085.241541,71991,2424306,516
443,68238,1506,253.6728625,1803676,1506,1152.508626,459.3457249,123564,1020.672846,199.6728625,1098.508626,68238,1803676,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,53177,1506,196.2250923,1961299,1506,1157.791617,344.4501845,93346,1025.178626,142.1808118,1103.77745,53177,1961299,64240
443,54785,1506,190.8885017,1988425,1506,1158.755828,333.7770035,95794,1020.074888,136.8466899,1104.748834,54785,1988425,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,850,175,106.25,951,161,105.6666667,164.5,1316,105.9411765,52.25,51.66666667,850,951,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,1837,852,204.1111111,4230,1474,384.5454545,360.2222222,3242,303.35,148.7777778,329.4545455,1837,4230,64240
7209,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7211,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16385
7214,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7680,198,66,66,0,0,0,84,252,66,0,0,198,0,64240
443,55,55,55,0,0,0,62,62,55,1,0,55,0,512
7171,56,56,56,54,54,54,64,64,55,2,0,56,54,509
49692,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,260
443,696,294,174,687,316,229,300,1200,197.5714286,120,175,696,687,510
443,78430,1506,211.972973,2591652,1506,1135.693252,375.9459459,139100,1006.81825,157.972973,1081.693252,78430,2591652,516
443,78473,1506,260.7076412,1999143,1506,1146.297592,473.4152824,142498,1015.949144,206.7076412,1092.297592,78473,1999143,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,59537,1506,208.9017544,2045516,1506,1154.354402,369.8035088,105394,1023.360719,154.8596491,1100.340858,59537,2045516,64240
443,58167,1506,196.5101351,2041913,1506,1156.236127,345.0202703,102126,1018.467507,142.4695946,1102.229332,58167,2041913,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,850,175,106.25,951,161,105.6666667,164.5,1316,105.9411765,52.25,51.66666667,850,951,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,1837,852,204.1111111,4230,1474,384.5454545,360.2222222,3242,303.35,148.7777778,329.4545455,1837,4230,64240
7209,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7211,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16385
7214,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7680,264,66,66,0,0,0,84,336,66,0,0,264,0,64240
443,55,55,55,0,0,0,62,62,55,1,0,55,0,512
7171,56,56,56,54,54,54,64,64,55,2,0,56,54,509
49692,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,260
443,696,294,174,687,316,229,300,1200,197.5714286,120,175,696,687,510
443,90088,1506,233.388601,2668921,1506,1132.818761,418.7772021,161648,1006.203136,179.388601,1078.818761,90088,2668921,516
443,84711,1506,262.2631579,2156290,1506,1143.313892,476.5263158,153918,1014.486646,208.2631579,1089.313892,84711,2156290,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,65663,1506,211.816129,2215436,1506,1154.474205,375.6322581,116446,1023.373262,157.7774194,1100.461699,65663,2215436,64240
443,58329,1506,195.0802676,2053909,1506,1156.480293,342.1605351,102306,1017.946024,141.0401338,1102.473536,58329,2053909,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,850,175,106.25,951,161,105.6666667,164.5,1316,105.9411765,52.25,51.66666667,850,951,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,1837,852,204.1111111,4230,1474,384.5454545,360.2222222,3242,303.35,148.7777778,329.4545455,1837,4230,64240
7209,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7211,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16385
7214,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7680,264,66,66,0,0,0,84,336,66,0,0,264,0,64240
443,55,55,55,0,0,0,62,62,55,1,0,55,0,512
7171,56,56,56,54,54,54,64,64,55,2,0,56,54,509
49692,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,260
443,696,294,174,687,316,229,300,1200,197.5714286,120,175,696,687,510
443,91173,1506,234.377892,2683119,1506,1131.640236,420.7557841,163674,1005.178261,180.377892,1077.640236,91173,2683119,516
443,91283,1506,260.8085714,2352329,1506,1141.353227,473.6171429,165766,1013.526338,206.8085714,1087.353227,91283,2352329,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,73090,1506,215.6047198,2408942,1506,1152.052606,383.2094395,129908,1021.412346,161.5693215,1098.041129,73090,2408942,64240
443,61077,1506,202.2417219,2063848,1506,1156.865471,356.4834437,107658,1018.660115,148.2019868,1102.858744,61077,2063848,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,850,175,106.25,951,161,105.6666667,164.5,1316,105.9411765,52.25,51.66666667,850,951,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,1837,852,204.1111111,4230,1474,384.5454545,360.2222222,3242,303.35,148.7777778,329.4545455,1837,4230,64240
7209,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7211,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16385
